participant_id,scene_id,session_uuid,mean_AD_KDMA_Sim,mean_AD_KDMA_Text,mean_PropTrust,mean_ST_KDMA_Sim,mean_ST_KDMA_Text,mean_percent_accurate_tagging,mean_patient_count,mean_percent_injury_correctly_treated,mean_pulse_taken_count,mean_stills_value,mean_teleport_count,mean_time_to_hemorrhage_control_per_patient,mean_triage_time,sum_action_count,sum_assessment_count,sum_tag_application_count,sum_treatment_count,sum_treated_expectant_count,encounter_layout
2024222,1,c99de80f-15cc-45cb-aa64-5af0f2f118ca,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,
2024223,0,70eef02d-d2d0-458e-a8bb-f6511bf47a0c,0.516666667,0.475,,0.515384615,0.292872306,37.5,4.0,16.666666666666668,6.0,1.0,16.0,0.0,918148.0,5406405.0,31116.0,2593.0,7779.0,2593.0,Jungle
2024223,0,c9a8dc60-f61d-44bb-bcb5-6e2466f3c9a0,0.516666667,0.475,,0.515384615,0.292872306,37.5,4.0,61.111111111111114,6.0,1.0,42.0,44966.5,993239.0,10457400.0,32454.0,10818.0,46878.0,3606.0,Submarine
2024224,0,8b6c4aed-0983-4a76-99fb-cec08dc26b92,0.4666666669999999,0.316666667,4.333333333,0.623076923,0.310392505,12.5,4.0,5.555555555555556,2.0,1.0,42.0,12355.0,1464981.0,29770416.0,23712.0,5928.0,17784.0,5928.0,Submarine
2024224,0,a3a7727b-dd25-4e78-8d63-e66573f5077e,0.4666666669999999,0.316666667,4.333333333,0.623076923,0.310392505,12.5,4.0,15.384615384615387,4.0,1.0,39.0,0.0,889298.0,8084214.0,31059.0,4437.0,13311.0,0.0,Jungle
2024225,0,05e0be07-479a-4ea4-9b90-3fc7b79ef7ff,0.416666667,0.366666667,4.333333333,0.543181818,0.480868855,32.5,5.0,46.666666666666664,4.0,1.0,30.0,1897.0,935242.0,1972080.0,9960.0,3320.0,11620.0,1660.0,Urban
2024225,0,a9c21d35-e8be-47fd-926a-a00dcd3e792b,0.416666667,0.366666667,4.333333333,0.543181818,0.480868855,32.5,4.0,18.181818181818183,1.0,1.0,48.0,0.0,640208.0,678852.0,3924.0,1962.0,2943.0,0.0,Desert
2024226,0,0e8693a1-1926-4d56-b0c4-ee2dc8181fc6,0.316666667,0.366666667,3.6666666669999994,0.621794872,0.484169598,45.0,4.0,57.14285714285715,22.0,1.0,85.0,10172.666666666666,1086288.0,10853136.0,162960.0,18624.0,60528.0,4656.0,Desert
2024226,0,703b9d0b-7786-4a4b-8a26-7c57d16b785a,0.316666667,0.366666667,3.666666667,0.621794872,0.484169598,45.0,5.0,75.0,11.0,1.0,134.0,14401.5,915244.0,5405774.0,50380.0,15114.0,65494.0,2519.0,Urban
2024227,0,84c92e21-764b-435b-9e55-0f12f60383fc,0.466666667,0.316666667,4.0,0.469230769,0.310236722,25.0,4.0,16.666666666666668,1.0,1.0,46.0,0.0,717275.0,1105402.0,5036.0,2518.0,5036.0,1259.0,Submarine
2024227,0,9f3bb117-3a4b-4bc7-9237-e2d9920d5333,0.466666667,0.316666667,4.0,0.469230769,0.310236722,25.0,4.0,8.333333333333334,4.0,1.0,33.0,0.0,460770.0,321393.0,5752.0,0.0,2157.0,719.0,Jungle
